Value	Name	VariableDescription	days	Date	Time
1,308	ROGUE RIVER AT GRANTS PASS, OR	Discharge	20	12/7/20	12:32:30 AM
1,293	ROGUE RIVER AT GRANTS PASS, OR	Discharge	20	12/7/20	1:52:30 AM
1,284	ROGUE RIVER AT GRANTS PASS, OR	Discharge	20	12/7/20	3:12:30 AM
1,281	ROGUE RIVER AT GRANTS PASS, OR	Discharge	20	12/7/20	4:32:30 AM
1,283	ROGUE RIVER AT GRANTS PASS, OR	Discharge	20	12/7/20	5:52:30 AM
1,284	ROGUE RIVER AT GRANTS PASS, OR	Discharge	20	12/7/20	7:12:30 AM
1,275	ROGUE RIVER AT GRANTS PASS, OR	Discharge	20	12/7/20	8:32:30 AM
1,269	ROGUE RIVER AT GRANTS PASS, OR	Discharge	20	12/7/20	9:52:30 AM
1,268	ROGUE RIVER AT GRANTS PASS, OR	Discharge	20	12/7/20	11:12:30 AM
1,270	ROGUE RIVER AT GRANTS PASS, OR	Discharge	20	12/7/20	12:32:30 PM
1,271	ROGUE RIVER AT GRANTS PASS, OR	Discharge	20	12/7/20	1:52:30 PM
1,270	ROGUE RIVER AT GRANTS PASS, OR	Discharge	20	12/7/20	3:12:30 PM
1,271	ROGUE RIVER AT GRANTS PASS, OR	Discharge	20	12/7/20	4:32:30 PM
1,289	ROGUE RIVER AT GRANTS PASS, OR	Discharge	20	12/7/20	5:52:30 PM
1,298	ROGUE RIVER AT GRANTS PASS, OR	Discharge	20	12/7/20	7:12:30 PM
1,299	ROGUE RIVER AT GRANTS PASS, OR	Discharge	20	12/7/20	8:32:30 PM
1,309	ROGUE RIVER AT GRANTS PASS, OR	Discharge	20	12/7/20	9:52:30 PM
1,305	ROGUE RIVER AT GRANTS PASS, OR	Discharge	20	12/7/20	11:12:30 PM
1,294	ROGUE RIVER AT GRANTS PASS, OR	Discharge	19	12/8/20	12:32:30 AM
1,282	ROGUE RIVER AT GRANTS PASS, OR	Discharge	19	12/8/20	1:52:30 AM
1,272	ROGUE RIVER AT GRANTS PASS, OR	Discharge	19	12/8/20	3:12:30 AM
1,275	ROGUE RIVER AT GRANTS PASS, OR	Discharge	19	12/8/20	4:32:30 AM
1,278	ROGUE RIVER AT GRANTS PASS, OR	Discharge	19	12/8/20	5:52:30 AM
1,276	ROGUE RIVER AT GRANTS PASS, OR	Discharge	19	12/8/20	7:12:30 AM
1,270	ROGUE RIVER AT GRANTS PASS, OR	Discharge	19	12/8/20	8:32:30 AM
1,266	ROGUE RIVER AT GRANTS PASS, OR	Discharge	19	12/8/20	9:52:30 AM
1,261	ROGUE RIVER AT GRANTS PASS, OR	Discharge	19	12/8/20	11:12:30 AM
1,261	ROGUE RIVER AT GRANTS PASS, OR	Discharge	19	12/8/20	12:32:30 PM
1,258	ROGUE RIVER AT GRANTS PASS, OR	Discharge	19	12/8/20	1:52:30 PM
1,262	ROGUE RIVER AT GRANTS PASS, OR	Discharge	19	12/8/20	3:12:30 PM
1,266	ROGUE RIVER AT GRANTS PASS, OR	Discharge	19	12/8/20	4:32:30 PM
1,277	ROGUE RIVER AT GRANTS PASS, OR	Discharge	19	12/8/20	5:52:30 PM
1,277	ROGUE RIVER AT GRANTS PASS, OR	Discharge	19	12/8/20	7:12:30 PM
1,276	ROGUE RIVER AT GRANTS PASS, OR	Discharge	19	12/8/20	8:32:30 PM
1,278	ROGUE RIVER AT GRANTS PASS, OR	Discharge	19	12/8/20	9:52:30 PM
1,278	ROGUE RIVER AT GRANTS PASS, OR	Discharge	19	12/8/20	11:12:30 PM
1,276	ROGUE RIVER AT GRANTS PASS, OR	Discharge	18	12/9/20	12:32:30 AM
1,274	ROGUE RIVER AT GRANTS PASS, OR	Discharge	18	12/9/20	1:52:30 AM
1,277	ROGUE RIVER AT GRANTS PASS, OR	Discharge	18	12/9/20	3:12:30 AM
1,275	ROGUE RIVER AT GRANTS PASS, OR	Discharge	18	12/9/20	4:32:30 AM
1,277	ROGUE RIVER AT GRANTS PASS, OR	Discharge	18	12/9/20	5:52:30 AM
1,273	ROGUE RIVER AT GRANTS PASS, OR	Discharge	18	12/9/20	7:12:30 AM
1,265	ROGUE RIVER AT GRANTS PASS, OR	Discharge	18	12/9/20	8:40:00 AM
1,256	ROGUE RIVER AT GRANTS PASS, OR	Discharge	18	12/9/20	10:12:30 AM
1,253	ROGUE RIVER AT GRANTS PASS, OR	Discharge	18	12/9/20	11:32:30 AM
1,255	ROGUE RIVER AT GRANTS PASS, OR	Discharge	18	12/9/20	12:52:30 PM
1,257	ROGUE RIVER AT GRANTS PASS, OR	Discharge	18	12/9/20	2:30:00 PM
1,259	ROGUE RIVER AT GRANTS PASS, OR	Discharge	18	12/9/20	3:52:30 PM
1,270	ROGUE RIVER AT GRANTS PASS, OR	Discharge	18	12/9/20	5:12:30 PM
1,278	ROGUE RIVER AT GRANTS PASS, OR	Discharge	18	12/9/20	6:32:30 PM
1,274	ROGUE RIVER AT GRANTS PASS, OR	Discharge	18	12/9/20	7:52:30 PM
1,274	ROGUE RIVER AT GRANTS PASS, OR	Discharge	18	12/9/20	9:12:30 PM
1,274	ROGUE RIVER AT GRANTS PASS, OR	Discharge	18	12/9/20	10:32:30 PM
1,271	ROGUE RIVER AT GRANTS PASS, OR	Discharge	18	12/9/20	11:52:30 PM
1,270	ROGUE RIVER AT GRANTS PASS, OR	Discharge	17	12/10/20	1:12:30 AM
1,270	ROGUE RIVER AT GRANTS PASS, OR	Discharge	17	12/10/20	2:32:30 AM
1,270	ROGUE RIVER AT GRANTS PASS, OR	Discharge	17	12/10/20	3:52:30 AM
1,271	ROGUE RIVER AT GRANTS PASS, OR	Discharge	17	12/10/20	5:12:30 AM
1,274	ROGUE RIVER AT GRANTS PASS, OR	Discharge	17	12/10/20	6:32:30 AM
1,268	ROGUE RIVER AT GRANTS PASS, OR	Discharge	17	12/10/20	7:52:30 AM
1,259	ROGUE RIVER AT GRANTS PASS, OR	Discharge	17	12/10/20	9:12:30 AM
1,254	ROGUE RIVER AT GRANTS PASS, OR	Discharge	17	12/10/20	10:32:30 AM
1,258	ROGUE RIVER AT GRANTS PASS, OR	Discharge	17	12/10/20	11:52:30 AM
1,256	ROGUE RIVER AT GRANTS PASS, OR	Discharge	17	12/10/20	1:12:30 PM
1,260	ROGUE RIVER AT GRANTS PASS, OR	Discharge	17	12/10/20	2:32:30 PM
1,268	ROGUE RIVER AT GRANTS PASS, OR	Discharge	17	12/10/20	3:52:30 PM
1,271	ROGUE RIVER AT GRANTS PASS, OR	Discharge	17	12/10/20	5:12:30 PM
1,278	ROGUE RIVER AT GRANTS PASS, OR	Discharge	17	12/10/20	6:32:30 PM
1,277	ROGUE RIVER AT GRANTS PASS, OR	Discharge	17	12/10/20	7:52:30 PM
1,279	ROGUE RIVER AT GRANTS PASS, OR	Discharge	17	12/10/20	9:12:30 PM
1,279	ROGUE RIVER AT GRANTS PASS, OR	Discharge	17	12/10/20	10:32:30 PM
1,273	ROGUE RIVER AT GRANTS PASS, OR	Discharge	17	12/10/20	11:52:30 PM
1,268	ROGUE RIVER AT GRANTS PASS, OR	Discharge	16	12/11/20	1:12:30 AM
1,262	ROGUE RIVER AT GRANTS PASS, OR	Discharge	16	12/11/20	2:32:30 AM
1,266	ROGUE RIVER AT GRANTS PASS, OR	Discharge	16	12/11/20	3:52:30 AM
1,269	ROGUE RIVER AT GRANTS PASS, OR	Discharge	16	12/11/20	5:12:30 AM
1,270	ROGUE RIVER AT GRANTS PASS, OR	Discharge	16	12/11/20	6:32:30 AM
1,268	ROGUE RIVER AT GRANTS PASS, OR	Discharge	16	12/11/20	7:52:30 AM
1,259	ROGUE RIVER AT GRANTS PASS, OR	Discharge	16	12/11/20	9:12:30 AM
1,251	ROGUE RIVER AT GRANTS PASS, OR	Discharge	16	12/11/20	10:32:30 AM
1,250	ROGUE RIVER AT GRANTS PASS, OR	Discharge	16	12/11/20	11:52:30 AM
1,251	ROGUE RIVER AT GRANTS PASS, OR	Discharge	16	12/11/20	1:12:30 PM
1,255	ROGUE RIVER AT GRANTS PASS, OR	Discharge	16	12/11/20	2:32:30 PM
1,266	ROGUE RIVER AT GRANTS PASS, OR	Discharge	16	12/11/20	3:52:30 PM
1,288	ROGUE RIVER AT GRANTS PASS, OR	Discharge	16	12/11/20	5:12:30 PM
1,303	ROGUE RIVER AT GRANTS PASS, OR	Discharge	16	12/11/20	6:32:30 PM
1,303	ROGUE RIVER AT GRANTS PASS, OR	Discharge	16	12/11/20	7:57:30 PM
1,303	ROGUE RIVER AT GRANTS PASS, OR	Discharge	16	12/11/20	9:32:30 PM
1,297	ROGUE RIVER AT GRANTS PASS, OR	Discharge	16	12/11/20	10:52:30 PM
1,290	ROGUE RIVER AT GRANTS PASS, OR	Discharge	15	12/12/20	12:12:30 AM
1,291	ROGUE RIVER AT GRANTS PASS, OR	Discharge	15	12/12/20	1:32:30 AM
1,293	ROGUE RIVER AT GRANTS PASS, OR	Discharge	15	12/12/20	2:52:30 AM
1,301	ROGUE RIVER AT GRANTS PASS, OR	Discharge	15	12/12/20	4:12:30 AM
1,319	ROGUE RIVER AT GRANTS PASS, OR	Discharge	15	12/12/20	5:32:30 AM
1,326	ROGUE RIVER AT GRANTS PASS, OR	Discharge	15	12/12/20	6:52:30 AM
1,314	ROGUE RIVER AT GRANTS PASS, OR	Discharge	15	12/12/20	8:12:30 AM
1,304	ROGUE RIVER AT GRANTS PASS, OR	Discharge	15	12/12/20	9:32:30 AM
1,297	ROGUE RIVER AT GRANTS PASS, OR	Discharge	15	12/12/20	10:52:30 AM
1,294	ROGUE RIVER AT GRANTS PASS, OR	Discharge	15	12/12/20	12:12:30 PM
1,291	ROGUE RIVER AT GRANTS PASS, OR	Discharge	15	12/12/20	1:32:30 PM
1,282	ROGUE RIVER AT GRANTS PASS, OR	Discharge	15	12/12/20	2:52:30 PM
1,278	ROGUE RIVER AT GRANTS PASS, OR	Discharge	15	12/12/20	4:12:30 PM
1,288	ROGUE RIVER AT GRANTS PASS, OR	Discharge	15	12/12/20	5:32:30 PM
1,294	ROGUE RIVER AT GRANTS PASS, OR	Discharge	15	12/12/20	6:52:30 PM
1,301	ROGUE RIVER AT GRANTS PASS, OR	Discharge	15	12/12/20	8:12:30 PM
1,299	ROGUE RIVER AT GRANTS PASS, OR	Discharge	15	12/12/20	9:32:30 PM
1,302	ROGUE RIVER AT GRANTS PASS, OR	Discharge	15	12/12/20	10:52:30 PM
1,298	ROGUE RIVER AT GRANTS PASS, OR	Discharge	14	12/13/20	12:12:30 AM
1,294	ROGUE RIVER AT GRANTS PASS, OR	Discharge	14	12/13/20	1:32:30 AM
1,291	ROGUE RIVER AT GRANTS PASS, OR	Discharge	14	12/13/20	2:52:30 AM
1,294	ROGUE RIVER AT GRANTS PASS, OR	Discharge	14	12/13/20	4:12:30 AM
1,333	ROGUE RIVER AT GRANTS PASS, OR	Discharge	14	12/13/20	5:32:30 AM
1,368	ROGUE RIVER AT GRANTS PASS, OR	Discharge	14	12/13/20	6:52:30 AM
1,356	ROGUE RIVER AT GRANTS PASS, OR	Discharge	14	12/13/20	8:12:30 AM
1,332	ROGUE RIVER AT GRANTS PASS, OR	Discharge	14	12/13/20	9:32:30 AM
1,332	ROGUE RIVER AT GRANTS PASS, OR	Discharge	14	12/13/20	10:52:30 AM
1,353	ROGUE RIVER AT GRANTS PASS, OR	Discharge	14	12/13/20	12:12:30 PM
1,323	ROGUE RIVER AT GRANTS PASS, OR	Discharge	14	12/13/20	1:32:30 PM
1,415	ROGUE RIVER AT GRANTS PASS, OR	Discharge	14	12/13/20	2:52:30 PM
1,468	ROGUE RIVER AT GRANTS PASS, OR	Discharge	14	12/13/20	4:12:30 PM
1,487	ROGUE RIVER AT GRANTS PASS, OR	Discharge	14	12/13/20	5:33:45 PM
1,597	ROGUE RIVER AT GRANTS PASS, OR	Discharge	14	12/13/20	7:02:30 PM
1,617	ROGUE RIVER AT GRANTS PASS, OR	Discharge	14	12/13/20	8:22:30 PM
1,589	ROGUE RIVER AT GRANTS PASS, OR	Discharge	14	12/13/20	9:42:30 PM
1,545	ROGUE RIVER AT GRANTS PASS, OR	Discharge	14	12/13/20	11:02:30 PM
1,511	ROGUE RIVER AT GRANTS PASS, OR	Discharge	13	12/14/20	12:22:30 AM
1,511	ROGUE RIVER AT GRANTS PASS, OR	Discharge	13	12/14/20	1:42:30 AM
1,534	ROGUE RIVER AT GRANTS PASS, OR	Discharge	13	12/14/20	3:02:30 AM
1,582	ROGUE RIVER AT GRANTS PASS, OR	Discharge	13	12/14/20	4:22:30 AM
1,636	ROGUE RIVER AT GRANTS PASS, OR	Discharge	13	12/14/20	5:42:30 AM
1,651	ROGUE RIVER AT GRANTS PASS, OR	Discharge	13	12/14/20	7:02:30 AM
1,663	ROGUE RIVER AT GRANTS PASS, OR	Discharge	13	12/14/20	8:22:30 AM
1,706	ROGUE RIVER AT GRANTS PASS, OR	Discharge	13	12/14/20	9:42:30 AM
1,773	ROGUE RIVER AT GRANTS PASS, OR	Discharge	13	12/14/20	11:02:30 AM
1,852	ROGUE RIVER AT GRANTS PASS, OR	Discharge	13	12/14/20	12:22:30 PM
1,900	ROGUE RIVER AT GRANTS PASS, OR	Discharge	13	12/14/20	1:42:30 PM
1,931	ROGUE RIVER AT GRANTS PASS, OR	Discharge	13	12/14/20	3:02:30 PM
1,953	ROGUE RIVER AT GRANTS PASS, OR	Discharge	13	12/14/20	4:22:30 PM
1,965	ROGUE RIVER AT GRANTS PASS, OR	Discharge	13	12/14/20	5:42:30 PM
1,974	ROGUE RIVER AT GRANTS PASS, OR	Discharge	13	12/14/20	7:02:30 PM
1,968	ROGUE RIVER AT GRANTS PASS, OR	Discharge	13	12/14/20	8:22:30 PM
1,940	ROGUE RIVER AT GRANTS PASS, OR	Discharge	13	12/14/20	9:42:30 PM
1,903	ROGUE RIVER AT GRANTS PASS, OR	Discharge	13	12/14/20	11:02:30 PM
1,873	ROGUE RIVER AT GRANTS PASS, OR	Discharge	12	12/15/20	12:22:30 AM
1,849	ROGUE RIVER AT GRANTS PASS, OR	Discharge	12	12/15/20	1:42:30 AM
1,834	ROGUE RIVER AT GRANTS PASS, OR	Discharge	12	12/15/20	3:02:30 AM
1,823	ROGUE RIVER AT GRANTS PASS, OR	Discharge	12	12/15/20	4:22:30 AM
1,812	ROGUE RIVER AT GRANTS PASS, OR	Discharge	12	12/15/20	5:42:30 AM
1,789	ROGUE RIVER AT GRANTS PASS, OR	Discharge	12	12/15/20	7:02:30 AM
1,752	ROGUE RIVER AT GRANTS PASS, OR	Discharge	12	12/15/20	8:22:30 AM
1,734	ROGUE RIVER AT GRANTS PASS, OR	Discharge	12	12/15/20	9:42:30 AM
1,722	ROGUE RIVER AT GRANTS PASS, OR	Discharge	12	12/15/20	11:02:30 AM
1,709	ROGUE RIVER AT GRANTS PASS, OR	Discharge	12	12/15/20	12:22:30 PM
1,697	ROGUE RIVER AT GRANTS PASS, OR	Discharge	12	12/15/20	1:42:30 PM
1,689	ROGUE RIVER AT GRANTS PASS, OR	Discharge	12	12/15/20	3:02:30 PM
1,679	ROGUE RIVER AT GRANTS PASS, OR	Discharge	12	12/15/20	4:22:30 PM
1,683	ROGUE RIVER AT GRANTS PASS, OR	Discharge	12	12/15/20	5:42:30 PM
1,681	ROGUE RIVER AT GRANTS PASS, OR	Discharge	12	12/15/20	7:02:30 PM
1,676	ROGUE RIVER AT GRANTS PASS, OR	Discharge	12	12/15/20	8:22:30 PM
1,664	ROGUE RIVER AT GRANTS PASS, OR	Discharge	12	12/15/20	9:42:30 PM
1,650	ROGUE RIVER AT GRANTS PASS, OR	Discharge	12	12/15/20	11:02:30 PM
1,635	ROGUE RIVER AT GRANTS PASS, OR	Discharge	11	12/16/20	12:22:30 AM
1,624	ROGUE RIVER AT GRANTS PASS, OR	Discharge	11	12/16/20	1:42:30 AM
1,618	ROGUE RIVER AT GRANTS PASS, OR	Discharge	11	12/16/20	3:02:30 AM
1,611	ROGUE RIVER AT GRANTS PASS, OR	Discharge	11	12/16/20	4:22:30 AM
1,611	ROGUE RIVER AT GRANTS PASS, OR	Discharge	11	12/16/20	5:42:30 AM
1,607	ROGUE RIVER AT GRANTS PASS, OR	Discharge	11	12/16/20	7:02:30 AM
1,588	ROGUE RIVER AT GRANTS PASS, OR	Discharge	11	12/16/20	8:22:30 AM
1,578	ROGUE RIVER AT GRANTS PASS, OR	Discharge	11	12/16/20	9:42:30 AM
1,572	ROGUE RIVER AT GRANTS PASS, OR	Discharge	11	12/16/20	11:02:30 AM
1,572	ROGUE RIVER AT GRANTS PASS, OR	Discharge	11	12/16/20	12:22:30 PM
1,589	ROGUE RIVER AT GRANTS PASS, OR	Discharge	11	12/16/20	1:42:30 PM
1,728	ROGUE RIVER AT GRANTS PASS, OR	Discharge	11	12/16/20	3:02:30 PM
1,727	ROGUE RIVER AT GRANTS PASS, OR	Discharge	11	12/16/20	4:22:30 PM
1,773	ROGUE RIVER AT GRANTS PASS, OR	Discharge	11	12/16/20	5:42:30 PM
1,836	ROGUE RIVER AT GRANTS PASS, OR	Discharge	11	12/16/20	7:02:30 PM
1,821	ROGUE RIVER AT GRANTS PASS, OR	Discharge	11	12/16/20	8:22:30 PM
1,816	ROGUE RIVER AT GRANTS PASS, OR	Discharge	11	12/16/20	9:42:30 PM
1,834	ROGUE RIVER AT GRANTS PASS, OR	Discharge	11	12/16/20	11:02:30 PM
1,914	ROGUE RIVER AT GRANTS PASS, OR	Discharge	10	12/17/20	12:22:30 AM
2,154	ROGUE RIVER AT GRANTS PASS, OR	Discharge	10	12/17/20	1:42:30 AM
2,653	ROGUE RIVER AT GRANTS PASS, OR	Discharge	10	12/17/20	3:02:30 AM
3,114	ROGUE RIVER AT GRANTS PASS, OR	Discharge	10	12/17/20	4:22:30 AM
3,434	ROGUE RIVER AT GRANTS PASS, OR	Discharge	10	12/17/20	5:42:30 AM
3,764	ROGUE RIVER AT GRANTS PASS, OR	Discharge	10	12/17/20	7:02:30 AM
4,012	ROGUE RIVER AT GRANTS PASS, OR	Discharge	10	12/17/20	8:22:30 AM
4,153	ROGUE RIVER AT GRANTS PASS, OR	Discharge	10	12/17/20	9:42:30 AM
4,326	ROGUE RIVER AT GRANTS PASS, OR	Discharge	10	12/17/20	11:02:30 AM
4,374	ROGUE RIVER AT GRANTS PASS, OR	Discharge	10	12/17/20	12:22:30 PM
4,281	ROGUE RIVER AT GRANTS PASS, OR	Discharge	10	12/17/20	1:42:30 PM
4,163	ROGUE RIVER AT GRANTS PASS, OR	Discharge	10	12/17/20	3:02:30 PM
4,030	ROGUE RIVER AT GRANTS PASS, OR	Discharge	10	12/17/20	4:22:30 PM
3,919	ROGUE RIVER AT GRANTS PASS, OR	Discharge	10	12/17/20	5:42:30 PM
3,808	ROGUE RIVER AT GRANTS PASS, OR	Discharge	10	12/17/20	7:02:30 PM
3,699	ROGUE RIVER AT GRANTS PASS, OR	Discharge	10	12/17/20	8:22:30 PM
3,596	ROGUE RIVER AT GRANTS PASS, OR	Discharge	10	12/17/20	9:42:30 PM
3,485	ROGUE RIVER AT GRANTS PASS, OR	Discharge	10	12/17/20	11:02:30 PM
3,386	ROGUE RIVER AT GRANTS PASS, OR	Discharge	9	12/18/20	12:22:30 AM
3,298	ROGUE RIVER AT GRANTS PASS, OR	Discharge	9	12/18/20	1:42:30 AM
3,212	ROGUE RIVER AT GRANTS PASS, OR	Discharge	9	12/18/20	3:02:30 AM
3,133	ROGUE RIVER AT GRANTS PASS, OR	Discharge	9	12/18/20	4:22:30 AM
3,051	ROGUE RIVER AT GRANTS PASS, OR	Discharge	9	12/18/20	5:42:30 AM
2,957	ROGUE RIVER AT GRANTS PASS, OR	Discharge	9	12/18/20	7:02:30 AM
2,883	ROGUE RIVER AT GRANTS PASS, OR	Discharge	9	12/18/20	8:22:30 AM
2,804	ROGUE RIVER AT GRANTS PASS, OR	Discharge	9	12/18/20	9:42:30 AM
2,731	ROGUE RIVER AT GRANTS PASS, OR	Discharge	9	12/18/20	11:02:30 AM
2,680	ROGUE RIVER AT GRANTS PASS, OR	Discharge	9	12/18/20	12:22:30 PM
2,634	ROGUE RIVER AT GRANTS PASS, OR	Discharge	9	12/18/20	1:42:30 PM
2,586	ROGUE RIVER AT GRANTS PASS, OR	Discharge	9	12/18/20	3:02:30 PM
2,541	ROGUE RIVER AT GRANTS PASS, OR	Discharge	9	12/18/20	4:22:30 PM
2,503	ROGUE RIVER AT GRANTS PASS, OR	Discharge	9	12/18/20	5:42:30 PM
2,457	ROGUE RIVER AT GRANTS PASS, OR	Discharge	9	12/18/20	7:02:30 PM
2,413	ROGUE RIVER AT GRANTS PASS, OR	Discharge	9	12/18/20	8:22:30 PM
2,369	ROGUE RIVER AT GRANTS PASS, OR	Discharge	9	12/18/20	9:42:30 PM
2,324	ROGUE RIVER AT GRANTS PASS, OR	Discharge	9	12/18/20	11:02:30 PM
2,281	ROGUE RIVER AT GRANTS PASS, OR	Discharge	8	12/19/20	12:22:30 AM
2,253	ROGUE RIVER AT GRANTS PASS, OR	Discharge	8	12/19/20	1:42:30 AM
2,230	ROGUE RIVER AT GRANTS PASS, OR	Discharge	8	12/19/20	3:02:30 AM
2,199	ROGUE RIVER AT GRANTS PASS, OR	Discharge	8	12/19/20	4:22:30 AM
2,175	ROGUE RIVER AT GRANTS PASS, OR	Discharge	8	12/19/20	5:42:30 AM
2,144	ROGUE RIVER AT GRANTS PASS, OR	Discharge	8	12/19/20	7:02:30 AM
2,107	ROGUE RIVER AT GRANTS PASS, OR	Discharge	8	12/19/20	8:22:30 AM
2,084	ROGUE RIVER AT GRANTS PASS, OR	Discharge	8	12/19/20	9:42:30 AM
2,067	ROGUE RIVER AT GRANTS PASS, OR	Discharge	8	12/19/20	11:02:30 AM
2,036	ROGUE RIVER AT GRANTS PASS, OR	Discharge	8	12/19/20	12:22:30 PM
2,013	ROGUE RIVER AT GRANTS PASS, OR	Discharge	8	12/19/20	1:42:30 PM
1,997	ROGUE RIVER AT GRANTS PASS, OR	Discharge	8	12/19/20	3:02:30 PM
1,989	ROGUE RIVER AT GRANTS PASS, OR	Discharge	8	12/19/20	4:22:30 PM
1,985	ROGUE RIVER AT GRANTS PASS, OR	Discharge	8	12/19/20	5:42:30 PM
1,977	ROGUE RIVER AT GRANTS PASS, OR	Discharge	8	12/19/20	7:02:30 PM
1,969	ROGUE RIVER AT GRANTS PASS, OR	Discharge	8	12/19/20	8:22:30 PM
1,953	ROGUE RIVER AT GRANTS PASS, OR	Discharge	8	12/19/20	9:42:30 PM
1,921	ROGUE RIVER AT GRANTS PASS, OR	Discharge	8	12/19/20	11:02:30 PM
1,899	ROGUE RIVER AT GRANTS PASS, OR	Discharge	7	12/20/20	12:22:30 AM
1,883	ROGUE RIVER AT GRANTS PASS, OR	Discharge	7	12/20/20	1:42:30 AM
1,870	ROGUE RIVER AT GRANTS PASS, OR	Discharge	7	12/20/20	3:02:30 AM
1,860	ROGUE RIVER AT GRANTS PASS, OR	Discharge	7	12/20/20	4:22:30 AM
1,855	ROGUE RIVER AT GRANTS PASS, OR	Discharge	7	12/20/20	5:42:30 AM
1,845	ROGUE RIVER AT GRANTS PASS, OR	Discharge	7	12/20/20	7:02:30 AM
1,820	ROGUE RIVER AT GRANTS PASS, OR	Discharge	7	12/20/20	8:22:30 AM
1,809	ROGUE RIVER AT GRANTS PASS, OR	Discharge	7	12/20/20	9:42:30 AM
1,797	ROGUE RIVER AT GRANTS PASS, OR	Discharge	7	12/20/20	11:02:30 AM
1,783	ROGUE RIVER AT GRANTS PASS, OR	Discharge	7	12/20/20	12:22:30 PM
1,766	ROGUE RIVER AT GRANTS PASS, OR	Discharge	7	12/20/20	1:42:30 PM
1,758	ROGUE RIVER AT GRANTS PASS, OR	Discharge	7	12/20/20	3:02:30 PM
1,754	ROGUE RIVER AT GRANTS PASS, OR	Discharge	7	12/20/20	4:22:30 PM
1,762	ROGUE RIVER AT GRANTS PASS, OR	Discharge	7	12/20/20	5:42:30 PM
1,760	ROGUE RIVER AT GRANTS PASS, OR	Discharge	7	12/20/20	7:02:30 PM
1,758	ROGUE RIVER AT GRANTS PASS, OR	Discharge	7	12/20/20	8:22:30 PM
1,746	ROGUE RIVER AT GRANTS PASS, OR	Discharge	7	12/20/20	9:42:30 PM
1,736	ROGUE RIVER AT GRANTS PASS, OR	Discharge	7	12/20/20	11:02:30 PM
1,727	ROGUE RIVER AT GRANTS PASS, OR	Discharge	6	12/21/20	12:22:30 AM
1,718	ROGUE RIVER AT GRANTS PASS, OR	Discharge	6	12/21/20	1:42:30 AM
1,708	ROGUE RIVER AT GRANTS PASS, OR	Discharge	6	12/21/20	3:02:30 AM
1,703	ROGUE RIVER AT GRANTS PASS, OR	Discharge	6	12/21/20	4:22:30 AM
1,700	ROGUE RIVER AT GRANTS PASS, OR	Discharge	6	12/21/20	5:42:30 AM
1,693	ROGUE RIVER AT GRANTS PASS, OR	Discharge	6	12/21/20	7:02:30 AM
1,678	ROGUE RIVER AT GRANTS PASS, OR	Discharge	6	12/21/20	8:22:30 AM
1,660	ROGUE RIVER AT GRANTS PASS, OR	Discharge	6	12/21/20	9:42:30 AM
1,660	ROGUE RIVER AT GRANTS PASS, OR	Discharge	6	12/21/20	11:02:30 AM
1,658	ROGUE RIVER AT GRANTS PASS, OR	Discharge	6	12/21/20	12:22:30 PM
1,656	ROGUE RIVER AT GRANTS PASS, OR	Discharge	6	12/21/20	1:42:30 PM
1,648	ROGUE RIVER AT GRANTS PASS, OR	Discharge	6	12/21/20	3:02:30 PM
1,653	ROGUE RIVER AT GRANTS PASS, OR	Discharge	6	12/21/20	4:22:30 PM
1,661	ROGUE RIVER AT GRANTS PASS, OR	Discharge	6	12/21/20	5:42:30 PM
1,676	ROGUE RIVER AT GRANTS PASS, OR	Discharge	6	12/21/20	7:02:30 PM
1,752	ROGUE RIVER AT GRANTS PASS, OR	Discharge	6	12/21/20	8:22:30 PM
1,736	ROGUE RIVER AT GRANTS PASS, OR	Discharge	6	12/21/20	9:42:30 PM
1,707	ROGUE RIVER AT GRANTS PASS, OR	Discharge	6	12/21/20	11:02:30 PM
1,678	ROGUE RIVER AT GRANTS PASS, OR	Discharge	5	12/22/20	12:22:30 AM
1,664	ROGUE RIVER AT GRANTS PASS, OR	Discharge	5	12/22/20	1:42:30 AM
1,661	ROGUE RIVER AT GRANTS PASS, OR	Discharge	5	12/22/20	3:02:30 AM
1,666	ROGUE RIVER AT GRANTS PASS, OR	Discharge	5	12/22/20	4:22:30 AM
1,703	ROGUE RIVER AT GRANTS PASS, OR	Discharge	5	12/22/20	5:42:30 AM
1,733	ROGUE RIVER AT GRANTS PASS, OR	Discharge	5	12/22/20	7:02:30 AM
1,724	ROGUE RIVER AT GRANTS PASS, OR	Discharge	5	12/22/20	8:22:30 AM
1,701	ROGUE RIVER AT GRANTS PASS, OR	Discharge	5	12/22/20	9:42:30 AM
1,691	ROGUE RIVER AT GRANTS PASS, OR	Discharge	5	12/22/20	11:02:30 AM
1,694	ROGUE RIVER AT GRANTS PASS, OR	Discharge	5	12/22/20	12:22:30 PM
1,718	ROGUE RIVER AT GRANTS PASS, OR	Discharge	5	12/22/20	1:42:30 PM
1,773	ROGUE RIVER AT GRANTS PASS, OR	Discharge	5	12/22/20	3:02:30 PM
1,823	ROGUE RIVER AT GRANTS PASS, OR	Discharge	5	12/22/20	4:22:30 PM
1,857	ROGUE RIVER AT GRANTS PASS, OR	Discharge	5	12/22/20	5:42:30 PM
1,871	ROGUE RIVER AT GRANTS PASS, OR	Discharge	5	12/22/20	7:02:30 PM
1,871	ROGUE RIVER AT GRANTS PASS, OR	Discharge	5	12/22/20	8:22:30 PM
